Category,Item_ID,Requirement_or_Obligation,Final_Status,Evidence,Acceptance_or_Transfer_Owner,Date,Residual_Action,Residual_Owner,Due,Closure_Blocker
Charter objectives,CL-01,,,,,,,,,
Original deliverables,CL-02,,,,,,,,,
CR-004 pilot scope,CL-03,,,,,,,,,
Quality evidence,CL-04,,,,,,,,,
Supplier obligations,CL-05,,,,,,,,,
Invoices,CL-06,,,,,,,,,
Access,CL-07,,,,,,,,,
Records,CL-08,,,,,,,,,
Training,CL-09,,,,,,,,,
Support,CL-10,,,,,,,,,
Risks,CL-11,,,,,,,,,
Issues,CL-12,,,,,,,,,
Benefits,CL-13,,,,,,,,,
Communications,CL-14,,,,,,,,,
