WBS_ID,Work_Package,Deliverable_Parent,Duration_Working_Days,Predecessors,Work_Budget_SGD,Owner_Role,Resource_Role,Quality_or_Acceptance_Criterion,Procurement_Interface,Communication_Interface
WP-01,Requirements confirmation,Portal Pilot,3,,6000,Project Manager,Business Analyst,"Priority journeys and requirements approved by Service Operations Lead",None,"Requirements review with STK-03 and STK-04"
WP-02,Content inventory and approval,Portal Pilot,4,WP-01,8000,Service Operations Lead,Content Lead,"Thirty English FAQ article outlines approved and source-linked",None,"Weekly content decision with STK-03"
WP-03,Experience and accessibility design,Portal Pilot,5,WP-01,12000,Project Manager,UX and Accessibility Specialist,"Design review completed against agreed accessibility checklist","External accessibility advice may be required","Design review with STK-04 and STK-08"
WP-04,Portal configuration,Portal Pilot,8,"WP-02;WP-03",24000,Project Manager,Portal Configurator,"Configured functions trace to approved requirements and content",None,"Twice-weekly delivery coordination"
WP-05,Case-reference interface build,Portal Pilot,6,WP-01,18000,IT Integration Lead,Integration Engineer,"Interface passes approved non-production security and functional checks","Existing interface access dependency","Technical coordination with STK-05 and STK-06"
WP-06,Synthetic test-data preparation,Portal Pilot,3,WP-01,4000,IT Integration Lead,Test Analyst,"Test set contains no production customer data and covers priority journeys",None,"Data-boundary review with STK-06"
WP-07,Integration and quality test,Portal Pilot,5,"WP-04;WP-05;WP-06",10000,Project Manager,Test Team,"All critical tests complete; no unresolved severity-1 defect","Accessibility evidence input","Daily defect review during test"
WP-08,User and acceptance review,Portal Pilot,4,WP-07,6000,Service Operations Lead,Support Agent Review Group,"Acceptance evidence covers requirements, content, workflow and known limitations","External accessibility report required","Acceptance review with STK-01 and STK-04"
WP-09,Support training and runbook,Portal Pilot,4,WP-04,7000,Service Operations Lead,Trainer and Support Lead,"Runbook approved and pilot agents complete guided practice",None,"Training notice and feedback route for STK-04"
WP-10,Launch readiness and pilot handover,Portal Pilot,3,"WP-08;WP-09",10000,Project Manager,Cross-functional Team,"Sponsor acceptance, support owner, monitoring and rollback actions recorded","Final supplier obligations reconciled","Launch-readiness decision brief to STK-01"
