Record_ID,Record_Type,Related_Risk_ID,Cause,Event_or_Condition,Effect_or_Week8_Evidence,Initial_Probability_1_5,Initial_Impact_1_5,Owner,Trigger,Planned_Response
R-01,RISK,,"Because existing-interface access requires supplier coordination","test access may not be available by week 8","integration test and launch may move",4,5,IT Integration Lead,"No confirmed sandbox access by week 8 Friday","Secure access date; prepare authorised non-production stub contingency"
R-02,RISK,,"Because article owners have operational duties","content approval may take longer than four working days","portal configuration may start late",3,4,Service Operations Lead,"Fewer than 24 article outlines approved by end of week 4","Reserve review windows; prioritise critical articles; escalate missing owners"
R-03,RISK,,"Because specialist capacity is limited","an accessibility reviewer may be unavailable in the planned window","acceptance evidence and launch may be delayed",3,4,Procurement Lead,"No reviewer recommended for commercial review by week 8","Start sourcing early; use approved criteria; reserve provisional week-9 slot"
R-04,RISK,,"Because support agents balance project and service work","insufficient participation may leave workflow gaps undiscovered","adoption and user review quality may fall",3,4,Service Operations Lead,"Fewer than four agent representatives attend two consecutive reviews","Offer two review windows; record open questions; escalate capacity need"
R-05,RISK,,"Because project work may use a public AI assistant","restricted or production customer information may be entered into a prompt","confidentiality, privacy and trust may be harmed",2,5,Data Protection Lead,"Any prompt contains production customer or restricted project data","Use synthetic data; approved-tool boundary; prompt review and incident route"
U-01,WEEK8_UPDATE,R-01,,,"No confirmed sandbox access by week 8 Friday; the trigger occurred and stub contingency is ready",,,IT Integration Lead,,"Open issue I-01 and start the authorised stub for non-production test"
U-02,WEEK8_UPDATE,R-02,,,"All 30 English article outlines were approved by end of week 4; trigger did not occur",,,Service Operations Lead,,"Close after confirming no residual content-approval exposure"
U-03,WEEK8_UPDATE,R-03,,,"Three complete offers received; criteria scoring is required before a reviewer can be recommended",,,Procurement Lead,,"Complete evidence-based comparison and reserve the recommended supplier window"
U-04,WEEK8_UPDATE,R-04,,,"Five representatives attended, but three workflow questions remain open after the review",,,Service Operations Lead,,"Keep risk open; schedule targeted walkthrough and record answers"
U-05,WEEK8_UPDATE,R-05,,,"Prompt-log review found synthetic and approved project data only; no trigger occurred",,,Data Protection Lead,,"Continue weekly prompt-log sample and approved-tool reminder"
I-01,ISSUE,R-01,,"Sandbox access is not confirmed at the stated week-8 trigger","Integration test would wait unless the approved stub contingency starts",,,IT Integration Lead,,"Start stub test, escalate access decision and track supplier response"
